Объяснение|Вопрос|Решение
От Вашего бюджета зависит многое. Собираетесь ли Вы потратить, например, 5 тысяч или 30 тыс.?|Рассчитываете ли Вы потратить большую сумму денег на покупку фотоаппарата?|
"Вы выбрали вариант ответа ""Нет, я ограничен(а) в бюд-жете"", поэтому мы предлагаем вам простые фотоаппара-та-мыльницы. В настоящее время уровень качества изображения в таких фотоаппаратах стал намного выше."|Что для Вас важнее?|
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"". Вы рассчитываете потратить приличную сумму на покупку фотоаппарата, поэтому лучше всего покупать профессиональный фотоаппарат. У него каче-ство изображения намного выше."|Умеете ли Вы обращаться с профессиональными фотоаппаратами?|
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Нет, не умею пользоваться про-фессиональными фотоаппаратами"". Поэтому предлагаем купить полупрофессиональные фотоаппараты - у них качество изображения лучше и они просты в использо-вании."||Вам подойдут полупрофессиональные фотоаппараты.
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"". Вы умеете обра-щаться с профессиональным фотоаппаратом. Но если Вы только новичок - дорогую технику покупать не сто-ит."|Какой у Вас опыт работы с профессиональным фо-тоаппаратом?|
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Меньше года"". Поэтому советуем Вам приобрести ки-товые фотоаппараты - это профессиональные фотоаппа-раты со стандартным объективом."||Вам подойдут китовые фотоаппараты.
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"". Поэтому советуем Вам приобрести фото-аппараты с объективом, отличным от обычного. Это позволит Вам осуществить Ваши творческие задумки и идеи."|Где Вы предпочитаете фотографировать?|
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"", предпочитаете фотографировать ""Внутри помещения""."|В студии?|
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"", предпочитаете фотографировать ""На улице, на природе""."|Что Вам больше нравиться фотографировать?|
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"", предпочитаете фотографировать ""Внутри помещения"". Далее Вы выбрали вариант помещения ""Не в студии"". Поэтому Вам подойдут фотоаппараты с внешними вспышками."||Вам подойдут фотоаппараты с внешней вспышкой.
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"", предпочитаете фотографировать ""Внутри помещения"". Далее Вы выбрали вариант помещения ""Студия""."|Вы будете пользоваться специальной аппаратурой?|
"Вы выбрали вариант ответа ""Да, я не ограничен (а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"", предпочитаете фотографировать ""На улице, на природе"". Далее Вы выбрали жанр съемки ""Портрет"". Поэтому Вам подойдут все фотоаппараты фирмы Canon или Nikon с объективами ""портретник"""||"Вам подойдут такие фотоаппараты фирмы Canon и Nikon
с объективами Canon EF 100mm f/2,8 , Nikon 50mm
f/1.4G AF-S."
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"", предпочитаете фотографировать ""На улице, на природе"". Далее Вы выбрали жанр съемки ""Пейзаж"". Поэтому Вам подойдут все фотоаппараты фирмы Canon или Nikon с широкоформатными объекти-вами."||"Вам подойдут фотоаппараты фирмы Сanon и Nikon с
объективами Canon EF-S 10-22 f/3.5-4.5 USM, Nikon Af 80-
200mm f/2.8 D."
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"", предпочитаете фотографировать ""На улице, на природе"". Далее Вы выбрали жанр съемки ""Все"". Поэтому Вам подойдут все фотоаппараты фирмы Canon или Nikon с объективами CANON EF 28-135 mm f/3.5-5.6, Nikkor 16-85mm f/3.5-5.6G ED."""||"Вам подойдут фотоаппараты фирмы Сanon и Nikon с
объективами CANON EF 28-135 mm f/3.5-5.6, Nikkor 16-
85mm f/3.5-5.6G ED."
"Вы выбрали вариант ответа ""Да, я не ограничен(а) в средствах"", а после - ""Да, есть опыт в использовании профессиональных фотоаппаратов"", с опытом работы ""Больше года"", предпочитаете фотографировать ""Внутри помещения"". Далее Вы выбрали вариант помещения ""Студия"" ""Без использования специальной аппаратуры"". Поэтому рекомендуем Вам самые качественные фотоап-параты фирмы Canon и Nikon."||Вам подойдут такие фотоаппараты как Nikon D90
