Объяснение|Вопрос|Решение
|Собока короткошорстная или длинношорстная?|
|Рост более или менее 50 см?|
|Рост более или менее 50 см?|
|Длинный хвост или короткий?|
|Весит более или менее 50 кг?|
|Характер доброжелательный или недоброжелательный?|
|Рост более или менее 70 см?|
|Уши короткие или длинные?|
||Английский бульдог
||Фоксхаунд
||Датский дог
||Кокер-спаниель
||Ирландский сеттер
|Уши длинные или короткие?|
|Окрас не белый, рыжий с белыми пятнами или полностью белый?|
||Гончая
|Тело короткое или длинное?|
||Большой вандейский грифон
||Колли
||Ньюфаундленд
||Сенбернар
||Ирландский волкодав
||Мопс
||Чихуахуа
